diario,secc,orga,encabezado,fecha_mensaje,numdoc,texto_integro,fecha,cve,mensaje,seri,ndia,subi,url,term
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-10.PDF,CONGRESO,Pleno,DS,de 11/09/2019,10,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-10.CODI.#1,20190911,DSCD-13-PL-10,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 10,",Pleno y Diputación Permanente ,10,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-10,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-14.PDF,CONGRESO,Diputación Permanente,DS,de 27/11/2019,14,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-14.CODI.#1,20191127,DSCD-13-PL-14,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 14,",Pleno y Diputación Permanente ,14,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-14,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-13.PDF,CONGRESO,Diputación Permanente,DS,de 22/10/2019,13,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-13.CODI.#1,20191022,DSCD-13-PL-13,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 13,",Pleno y Diputación Permanente ,13,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-13,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-12.PDF,CONGRESO,Pleno,DS,de 18/09/2019,12,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-12.CODI.#1,20190918,DSCD-13-PL-12,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 12,",Pleno y Diputación Permanente ,12,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-12,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-11.PDF,CONGRESO,Pleno,DS,de 17/09/2019,11,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-11.CODI.#1,20190917,DSCD-13-PL-11,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 11,",Pleno y Diputación Permanente ,11,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-11,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-9.PDF,CONGRESO,Pleno,DS,de 10/09/2019,9,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-9.CODI.#1,20190910,DSCD-13-PL-9,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 9,",Pleno y Diputación Permanente ,9,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-9,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-8.PDF,CONGRESO,Pleno,DS,de 29/08/2019,8,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-8.CODI.#1,20190829,DSCD-13-PL-8,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 8,",Pleno y Diputación Permanente ,8,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-8,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-15.PDF,CONGRESO,Diputación Permanente,DS,de 02/12/2019,15,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-15.CODI.#1,20191202,DSCD-13-PL-15,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 15,",Pleno y Diputación Permanente ,15,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-15,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-5.PDF,CONGRESO,Pleno,DS,de 25/07/2019,5,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-5.CODI.#1,20190725,DSCD-13-PL-5,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 5,",Pleno y Diputación Permanente ,5,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-5,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-4.PDF,CONGRESO,Diputación Permanente,DS,de 23/07/2019,4,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-4.CODI.#1,20190723,DSCD-13-PL-4,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 4,",Pleno y Diputación Permanente ,4,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-4,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-7.PDF,CONGRESO,Diputación Permanente,DS,de 27/08/2019,7,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-7.CODI.#1,20190827,DSCD-13-PL-7,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 7,",Pleno y Diputación Permanente ,7,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-7,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-6.PDF,CONGRESO,Diputación Permanente,DS,de 30/07/2019,6,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-6.CODI.#1,20190730,DSCD-13-PL-6,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 6,",Pleno y Diputación Permanente ,6,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-6,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-1-C2.PDF,CONGRESO,Pleno,DS,de 21/05/2019,1,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-1-C2 DSCD-13-PL-1.CODI.#1,20190521,DSCD-13-PL-1-C2,"Congreso de los Diputados, Pleno y Dip. Perm., núm.<br/> 1,",Pleno y Diputación Permanente ,1,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-1-C2,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-3.PDF,CONGRESO,Pleno,DS,de 23/07/2019,3,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-3.CODI.#1,20190723,DSCD-13-PL-3,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 3,",Pleno y Diputación Permanente ,3,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-3,XIII
/public_oficiales/L13/CONG/DS/PL/DSCD-13-PL-2.PDF,CONGRESO,Pleno,DS,de 22/07/2019,2,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU13&PIECE=PU13&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-13-PL-2.CODI.#1,20190722,DSCD-13-PL-2,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 2,",Pleno y Diputación Permanente ,2,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIII&_publicaciones_texto=&_publicaciones_id_texto=DSCD-13-PL-2,XIII
